ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
3	6			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	11649	226.0	439.0	1.0	1.0463019559864892	0.6709740525324479	1.0	0.7647715336134454	0.7769319271171162	141.26908642007461	140.9432509913121	51.264022471905186	19.43135901296923	17.26267650163207	103.06958341038467	104.74831941120243	22.22756978517301	434.0679999999986	0.9784553357691822	1	0	229.3801184651043	440.8840243797751	0	6	6
3	7			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	38085	458.0	479.0	1.0	1.1647973740584838	0.7975459518766213	1.0	0.6143534649632211	0.6655933807275692	287.18352143007513	287.6751640305433	77.87810988975015	30.327539548805753	27.459060435491963	174.76251421036815	173.24581391669335	-26.649822374912976	847.9639999999963	0.9342114945912134	1	1	476.50529079690165	465.2626755940659	0	7	7
3	8			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	14598	951.0	538.0	1.0	1.2452776398492997	0.8563108375793773	1.0	0.6485405837664934	0.6777752780511502	190.80042757755348	191.3243319601561	49.49747468305833	18.667604318250593	17.029386365926403	100.275482615608	98.54093989831131	66.4382060153103	520.2459999999984	0.9636915764457353	1	1	946.5383614193726	531.3627894232087	0	8	8
3	9			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	14412	572.0	577.0	1.0	1.0929794158420802	0.5754761033236682	1.0	0.6279191355873126	0.5332060043311654	154.75186572704868	157.30861387730806	49.24428900898052	17.480744941551496	15.556349186104045	131.053533925373	126.55895341914068	47.49490517702278	582.799999999998	0.884063305115937	1	1	582.8422842076047	564.5528726061615	0	9	9
3	10			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	32485	532.0	777.0	1.0	1.350350425619854	0.8698578233255372	1.0	0.7195862130072657	0.6185492564909688	299.1004725528039	307.76127111772854	67.60177512462228	26.104984478231287	23.769728648009426	136.81255158550877	147.5470141032164	-5.610257614664794	812.3799999999981	0.9451969099611562	1	1	516.5967369555179	769.5348314606741	0	10	10
3	11			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	12372	892.0	792.0	1.0	1.189751152314529	0.8274894456181182	1.0	0.6517067003792667	0.5678556370089035	168.50614682634935	169.6732153287607	46.75467891024384	17.86491311173304	16.0312195418814	94.76470588235294	94.61304544738172	24.791730831097667	523.2459999999983	0.9526449526449526	1	1	902.0221467830585	795.698997736825	0	11	11
3	12			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	31179	208.0	780.0	1.0	1.8170851341172902	0.9190966277026194	1.0	0.4022058823529412	0.4064477822403894	352.6166112863098	388.89715864223024	61.814237842102365	21.409397089975922	19.0	156.18500878192697	138.94230550412564	-28.8579808709175	981.8239999999964	0.7273511949890941	1	1	206.68183713396837	800.642612014497	0	12	12
3	13			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	10431	695.0	847.0	1.0	1.1495738454123536	0.7992357464490369	1.0	0.6936427716451656	0.6241502708423118	149.51147780416264	145.9931505242626	41.6293165929973	16.44258356620912	15.0	90.60009339441612	89.85903778250095	-13.909617821709249	458.2719999999988	0.9510393873085339	1	0	699.8723995781804	842.6034895983128	0	13	13
3	14			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	13924	1163.0	901.0	1.0	1.475703908334244	0.9057592735097036	1.0	0.543227215980025	0.4790010487163837	210.2006915140629	203.60009823180343	45.65084884205331	15.849164720866977	13.601470508735444	93.19920205479522	89.08149029638818	56.891479958172006	604.3919999999979	0.9277409467968152	1	1	1173.598965814421	919.0598965814421	0	14	14
3	15			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	10769	286.0	920.0	1.0	1.0191096562402209	0.5258074122996745	1.0	0.7563562298075572	0.8362682943170563	127.12200681149015	129.86531484580476	53.46026561849464	19.0195530454983	16.97056274847714	109.29475710497663	108.13044267364619	-29.476716672344175	402.2719999999989	0.9807385820317834	1	0	285.2158046243848	918.3462717058222	0	15	15
